product_code;price_gross;vat;currency;stock;name
10580969652557;150.12;20;GBP;1;Squier Sonic Stratocaster, Laurel Fingerboard, White Pickguard, Ultraviolet (B-Stock)
10719825592653;301.32;20;GBP;1;Squier Vintage Modified Precision Bass PJ, Lake Placid Blue (Pre-Owned)
10580987478349;2698.92;20;GBP;1;Status Series 3000 Headless Bass (Pre-Owned)
10580974305613;106.92;20;GBP;1;SX DG50CE+ Electric Acoustic Guitar - in Natural (Pre-Owned)
10580976632141;538.92;20;GBP;1;Tanglewood JSC-2 Hollow Body Electric Guitar - in Natural (Pre-Owned)
10580912701773;268.92;20;GBP;1;Tanglewood TUB5 5-String Banjo, Vintage Burst Gloss
10638996209997;646.92;20;GBP;1;Tanglewood TW70-TE Sundance Performance Pro  (Pre-Owned)
10580974043469;160.92;20;GBP;1;Tanglewood TWJF E Electro-Acoustic Guitar - in Natural Gloss (Pre-Owned)
10580904706381;278.64;20;GBP;1;Tanglewood TWMFVSE Electro Acoustic F Style Mandolin, Vintage Sunburst
10709629206861;646.92;20;GBP;1;Tokai Goldstar Sound MIJ S-Style Electric Guitar, Natural Refinish (Pre-Owned)
10697720922445;430.92;20;GBP;1;Tokai UES73 SR Electric Guitar (Pre-Owned)
10580987969869;247.32;20;GBP;1;Vintage V100 Boulevard Black (B-Stock)
10634163454285;193.32;20;GBP;1;Vintage V940FL Fretless Bass (Pre-Owned)
10613862662477;970.92;20;GBP;1;Warwick RB Adam Clayton Signature Bass with EMG Pickups, in Solid Creme White with Pearloid Pickguard (Pre-Owned)
10656950419789;538.92;20;GBP;1;Yamaha AEX502 Semi-Hollow Electric, Orange Stain (Pre-Owned)
10697825583437;214.92;20;GBP;1;Yamaha DX21 FM Synth (Pre-Owned)
10580976992589;236.52;20;GBP;1;Yamaha FG750S Dreadnought Acoustic Guitar - in Natural  (Pre-Owned)
10580975780173;484.92;20;GBP;1;Yamaha FS-TA TransAcoustic Guitar - in Brown Sunburst (Pre-Owned)
